LakeID,LakeName,IIIa,IIIa.,IIIb,IIIb.,IIIc,IIIc.,IIa,IIa.,IIb,IIb.,IIc,IIc.,Ia,Ib,Ic,IR6,IR6.Num,IR6.den,MBT5ME,Lat,Long,Sample Depth,Lake area,MAT,AutumT,WinterT,SpringT,SummerT,Soi_pH,WT,Surface WT,Wsalinity,WpH
893,Kipabiskau,335996.2481,581590.9221,32046.3789,455940.2599,33860.49724,323042.2411,3577.510898,407604.7399,4183.100543,198701.6114,341890.8746,180812.5231,10141.56242,9486.468368,162731.5697,0.7,2147692.3,3081606.51,0.21008993,52.57,-104.21,6.8,4.94,0.6,2.33,-17,0.9,16.03,6.41,21.72,22.47,0.52,8.9
894,York,608004.5481,1022620.368,40077.4223,212620.1061,484595,20421.3244,1088163.865,0,197891.6978,581179.8021,1044598.831,9617.985942,29977.77103,322057.5989,32321.48916,0.32,1846459.59,5694147.81,0.115665071,51.16,-102.49,3,3.16,1.3,3.07,-16.23,1.4,16.77,7,22.8,22.86,1.09,8.97
895,Alsask,312051.6888,148212.8503,4308.108108,58053.29497,8638.055741,114972.3099,0,246260.9415,0,9945.814879,169296.3179,17918.49101,0,0,11395.4126,0.54,595363.7,1101053.29,0.023126463,51.34,-109.88,3.2,2.04,3.2,4.23,-12.37,3.53,17.4,6.57,19.6,19.8,74.84,9.35
896,Lonetree,529243.8504,974718.0298,22327.51045,36829.30712,671399.2747,0,1017049.551,0,193781.1721,212759.7749,433447.3123,7954.018937,6795.030934,180801.7004,25253.72503,0.29,1232261.13,4312360.26,0.089194152,49.08,-108.26,4,1.37,4.1,4.8,-10.07,4.23,17.37,6.66,20.03,20.03,0.19,9.05
897,Opuntia,401921.763,76199.46312,4626.977663,327510.1609,16538.22236,112974.7602,0,258758.7417,0,72532.66857,120366.867,87837.69773,3844.998139,6130.85678,83280.97644,0.6,935813.49,1572524.15,0.151502752,51.8,-108.57,1.6,14.03,2.2,3.5,-14.43,2.8,17.1,6.92,22.73,22.73,2.98,9.02
898,Buffalo Pound,267592.434,741530.0059,79115.17382,1244751.119,125172.0524,700507.9654,11730.58949,1006628.093,24392.69093,401075.3705,643499.3886,599213.6481,30406.57771,30844.09397,431192.8472,0.74,4693706.2,6337652.05,0.342055756,50.6,-105.41,4.1,28.72,3.4,4.77,-12.93,3.57,18.3,6.86,22.51,23.13,0.31,8.85
899,Greenwater,3136220.556,5052581.761,254329.0491,703039.221,2085541.748,35015.42433,2931336.72,157573.8604,1269293.629,2039283.626,1942478.782,87819.61419,200034.3283,1053620.262,298941.6575,0.38,8075313.51,21247110.24,0.143335198,52.51,-103.51,7.5,11.04,0.2,2.1,-17.53,0.43,15.73,6.17,20.15,21.1,0.33,8.23
900,Bullkin,18070.95698,125572.5151,0,3268.688756,32042.44496,5650.840667,103981.9004,0,12754.33765,18004.22495,40409.13089,0,0,13981.91818,0,0.41,152496.27,373736.96,0.073900888,49.25,-105.07,0.7,1.79,4.3,5.23,-11.27,4.5,18.67,6.8,19.4,19.4,2.01,9.06
901,Bitter,4735.481875,0,51465.65635,0,6740.843389,0,36008.55381,0,7154.681931,20895.2081,6526.499749,0,0,6738.59417,0,0.15,20895.21,140265.52,0.110172895,50.1,-109.79,0.9,20,4,4.83,-10.87,4.17,17.7,6.59,19.1,19.1,15.11,8.69
902,Mason,21540.02938,63999.48199,0,0,30782.1339,0,69237.81546,0,16870.83976,8857.989392,66361.2672,0,0,12331.98096,3375.705889,0.25,72857.47,293357.24,0.082795079,50.36,-109.36,1.9,0.74,3.8,4.73,-11.27,3.93,17.63,6.63,19.3,19.3,4.97,9.25
903,Cypress,499386.3132,35751.7685,1550525.788,108479.1925,545768.4141,5896.088609,1144070.787,10052.4298,266850.2668,491216.0886,492135.0298,18416.96964,31748.27654,297374.6422,37832.17136,0.12,669812.54,5535504.23,0.132503583,49.46,-109.5,5.6,21.7,2.7,3.6,-11.73,2.73,16.17,6.73,19.08,19.03,0.3,8.82
904,Edouard,434346.9141,463501.4987,19256.73835,32802.36688,301391.157,0,466727.2748,0,116705.831,133044.8431,358884.6034,3805.196702,5127.978192,121844.7578,14312.16899,0.26,633153.91,2471751.33,0.093076155,52.38,-104.34,5.6,1.11,0.6,2.33,-16.87,0.8,15.97,7.11,19.83,20.01,7.43,11.09
905,Newton,589517.5811,568940.3923,23161.97352,23960.31019,571654.3574,0,558026.2114,0,191554.2694,150289.901,303462.9911,8962.887213,6105.87647,170697.6744,19338.47825,0.24,752153.49,3185672.9,0.106674118,49.31,-107.81,4.2,5.01,4,4.77,-10.47,4.17,17.63,6.8,20.55,20.73,0.38,8.95
907,Little Manitou B,74898.94563,7934.219078,315621.3927,19207.62274,315444.7452,6919.902027,602489.8177,11747.8691,50753.33806,886606.2815,53963.91116,4220.374811,5729.779179,30770.19367,7704.18077,0.39,936636.27,2394012.57,0.053495837,51.72,-105.43,6.7,15.66,1.9,3.23,-14.43,2.47,16.4,6.8,19.76,20.38,3.62,9.15
908,McLean,5648.162223,0,182076.8105,0,141243.948,0,0,0,5045.137514,79162.14342,4352.933316,0,0,4335.855707,0,0.19,79162.14,421864.99,0.223704254,52.61,-109.38,0.065,0.66,1.9,3.23,-14.6,2.47,16.47,6.3,20.54,20.53,46.22,9.27
909,Annie Laurie,1278030.077,49801.75407,1184261.535,75485.35756,1216999.175,0,1598460.397,8034.715977,539788.1807,1440977.097,470599.8778,17255.45082,20984.49852,638690.4461,124347.7,0.18,1591554.38,8663716.26,0.167852544,51.97,-102.66,1.3,1.3,0.4,2.37,-17.23,0.53,15.97,6.6,22.1,22.1,0.25,8.78
910,Shoe,0,0,17542.77853,0,0,0,14875.76174,0,6139.89224,17285.65924,5309.642842,0,0,6846.910283,3658.685801,0.24,17285.66,71659.33,0.285238702,49.72,-105.36,3.8,3.8,3.6,4.63,-11.97,3.63,18,6.8,19.9,20.03,25.09,8.9
911,Grassy,1191289.489,1708366.587,55323.60304,88569.05623,1399542.887,0,1672698.323,7498.977699,539682.7755,500713.8094,912819.8103,14443.83122,26236.33803,507165.6959,49101.83306,0.27,2319592.26,8673453.02,0.118902745,51.24,-104.63,2,0.69,1.5,3.13,-15.4,1.73,16.63,6.98,21.27,21.3,0.64,8.98
912,Farewell,12196.44,163509.44,0,0,6761.69,4243.18,158838.52,28666.9,4867.79,12109.95,0,0,48925.69,8161.8,0,0.47,208529.47,448281.4,0.24502095,52.47,-109.38,0.4,1.11,2,3.33,-14.53,2.5,16.53,6.77,16.5,16.5,3.57,9.4
913,Arthur,6500.389064,0,19901.57864,0,9920.82361,0,27011.47087,0,10095.92147,37678.25157,6754.84378,0,0,8480.976342,5265.681492,0.29,37678.25,131609.94,0.214425387,52.56,-105.45,6.7,2.65,1.1,2.6,-16.3,1.43,16.5,6.86,15.06,20.34,8.3,8.88
914,Rabbit,45259.60151,5547.544747,104302.2623,9616.189787,75925.81992,0,134828.335,0,63458.53219,132874.399,39939.56565,5059.39454,3340.151498,45403.09957,14371.11988,0.23,153097.53,679926.02,0.182095491,52.62,-106.99,6.5,3.76,1.7,2.93,-15.33,2.27,16.77,6.54,19.05,19.94,4.23,9.21
915,Wolverine,53096.57463,6061.236697,156792.3644,10236.452,85063.96285,0,159303.5938,0,64311.74124,165926.4693,44313.66286,7551.128042,3721.326957,73467.04398,23612.1116,0.22,189775.29,853457.67,0.238962201,52.02,-105.23,3.1,3.93,1.5,3.27,-16,1.73,17.07,7.15,21.24,21.3,0.8,8.93
916,Clearwater,560862.1907,38108.52654,675152.8827,130515.2599,436404.7775,0,656421.0786,14240.7855,255375.7387,614321.1171,332659.9084,11291.44208,23473.25928,271253.402,41791.47276,0.2,808477.13,4061871.84,0.15711659,50.87,-107.93,7,0.56,3.2,4.27,-12.57,3.5,17.43,6.63,19.08,19.3,0.68,9.18
918,Kindersley,736841.55,759508.01,28281.54,28074.44,0,0,1033871.57,939338.91,0,16337.01,6004.77,3920.25,505491.33,231973.84,20009.16,0.41,1747178.62,4309652.38,0.298901687,51.42,-109.1,1.6,0.09,2.6,3.87,-13.6,2.77,17.17,6.81,17.57,17.57,0.42,9.66
919,Lewis Creek South,83901.50237,180979.1794,6197.635589,11561.03782,0,89681.00636,149958.2745,0,48745.96824,58890.1883,3351.848296,133602.8221,5369.087946,65384.83497,10328.72832,0.56,474714.23,847952.11,0.22090943,51.44,-105.53,1.9,1.73,2.4,4.07,-14.63,2.43,17.53,6.86,21.1,21.1,1.36,8.74
920,Snipe,107561.3525,618068.4797,29705.95375,29500.19648,0,160364.7943,432659.4262,0,131249.2596,117784.884,4957.647649,164958.9459,7432.662392,123363.9029,19056.00025,0.56,1090677.3,1946663.51,0.181358038,51.22,-108.86,1.2,4.27,3,4.07,-13.1,3.4,17.53,7.15,18.65,18.65,1.67,8.85
922,Crooked,1893760.226,1678712.142,174649.5539,229823.6636,1343334.273,29226.14769,1098425.384,28523.0253,882152.882,834111.1993,1047428.107,79402.44646,62528.45428,634408.1715,157656.7028,0.28,2879798.62,10174142.38,0.147946689,50.6,-102.68,10.2,16.11,2.2,3.77,-15.07,2.63,17.43,7.37,21.33,24.25,0.82,8.72
