Lake ID,Lake Name,IIIa,IIIa.,IIIb,IIIb.,IIIc,IIIc.,IIa,IIa.,IIb,IIb.,IIc,IIc.,Ia,Ib,Ic,Lat,Long,Sample Depth,Lake area,Altitude,JanP,FebP,MarP,AprP,MayP,JunP,JulP,AugP,SepP,OctP,NovP,DecP,AnnualP,AutumP,WinterP,SpringP,SummerP,JanT,FebT,MarT,AprT,MayT,JunT,JulT,AugT,SepT,OctT,NovT,DecT,AvT,AutumT,WinterT,SpringT,SummerT,Soi_pH,WT,Surface WT,Wsalinity,OrgCarbon,TOCW,WO,WpH,TDS,Alkalinity,Bicarbonate,Carbonate,Ca,SO4,Na,Mg,K,Cl
881,Tramping,1,0,19,2,7,0,27,0,2,38,0,0,0,0,3,52.01,-108.79,3.4,13.29,655,16,12,18,22,36,63,62,47,31,15,15,17,354,61,45,76,172,-17.7,-13.5,-7.5,3.2,10.8,15.1,17.7,16.8,10.7,4.5,-6,-13.5,1.7,3.07,-14.90,2.17,16.53,6.32,23.45,23.8,11.56,2.38,0.31,59.95,9.14,0.00,609.03,695.52,46.89,83.4,5694.85,1550.2,1077.78,133.42,124.62
882,Unknown 1,8,0,25,1,9,0,23,0,5,13,7,0,0,6,1,51.55,-104.26,1.8,0.17,642,17,13,24,20,50,65,67,48,46,23,15,18,406,84,48,94,180,-18.2,-14.6,-8.3,2.5,10.2,15,17.6,16.5,10.5,4.2,-6.2,-14.5,1.2,2.83,-15.77,1.47,16.37,7.07,21.66,21.66,1.27,3.33,0.05,89.77,8.73,0.00,511.75,592.06,31.91,69.86,706.53,69.8,0,32.83,11.6
883,Macklin,11,0,19,2,15,0,21,0,5,13,8,0,1,5,1,52.32,-109.95,2.8,0.77,651,19,14,18,21,35,69,69,54,32,16,14,20,381,62,53,74,192,-17.2,-12.5,-6.9,3.5,10.9,15.1,17.7,16.5,10.7,4.7,-5.4,-12.6,2,3.33,-14.10,2.50,16.43,6.76,20.54,20.53,0.80,1.56,0.32,62.56,8.38,0.00,505.89,617.35,0,22.8,169.25,266.2,35.44,28.25,53.65
884,Vincent,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,50.23,-108.96,0.1,2.42,692,20,16,20,25,38,64,47,36,31,15,14,17,343,60,53,83,147,-13.7,-9.6,-4.2,4.8,11.4,15.8,18.8,17.9,11.9,5.9,-3.6,-9.7,3.8,4.73,-11.00,4.00,17.50,6.45,22.00,22,49.87,1.56,0.14,57.30,9.42,0.00,292.58,357.04,0,627.4,45008.34,20335,1437,245.6,4142.47
885,Snakehole,4,0,8,0,5,0,27,0,5,44,4,0,0,3,0,50.51,-108.48,2.4,1.82,653,19,14,18,23,39,66,49,36,31,15,13,14,337,59,47,80,151,-14,-10.1,-4.3,4.9,11.7,16.3,19.1,18.2,12.2,6.1,-3.8,-10,3.9,4.83,-11.37,4.10,17.87,6.78,23.46,23.54,50.21,1.76,0.18,112.00,8.96,47.35,745.33,909.55,0,380,50544.56,12600,7118,531.1,8455.99
886,Junction,18,20,1,1,16,0,18,0,6,6,9,0,0,5,1,49.97,-109.52,9,0.90,753,20,16,18,25,36,60,44,36,31,14,14,17,331,59,53,79,140,-14,-9.5,-4.2,4.6,11.1,15.5,18.7,17.6,11.7,5.7,-3.7,-9.7,3.7,4.57,-11.07,3.83,17.27,6.52,19.34,19.93,0.66,1.42,0.21,54.84,8.92,0.00,236.4,280.41,7.94,64.95,459.98,169.3,67.12,9.71,18.89
887,Van Scoy,3,0,23,2,5,0,22,0,8,15,8,1,0,10,3,52.07,-107.55,0.9,4.69,542,17,13,20,22,40,62,63,42,32,17,15,19,362,64,49,82,167,-17.9,-13.7,-7.3,3.6,11.3,15.7,18.2,17,11.1,4.7,-6,-14,1.9,3.27,-15.20,2.53,16.97,6.67,19.50,19.5,6.44,1.85,0.28,116.90,8.82,0.00,176.05,214.83,0,303.1,6226.88,1339.2,931.59,101.3,210.07
889,Alioth,28,0,30,0,24,0,0,0,1,15,0,0,0,1,0,52.51,-109.55,0.58,0.14,643,19,14,20,22,36,69,70,55,33,16,15,20,389,64,53,78,194,-17.5,-13,-7.3,3.3,10.6,14.9,17.5,16.2,10.6,4.5,-5.8,-13.1,1.7,3.10,-14.53,2.20,16.20,6.67,21.10,21.1,13.92,2.23,0.34,190.60,10.33,0.00,238.41,206.57,82.96,192,14829.27,4396.5,1324.62,135,958.29
890,Suffern,17,1,17,1,15,0,15,0,9,12,5,1,0,6,1,52.64,-109.90,8,0.29,624,20,14,20,22,37,72,71,57,34,16,15,21,399,65,55,79,200,-17.3,-12.6,-7,3.5,10.8,15.1,17.5,16.2,10.5,4.6,-5.6,-12.8,1.9,3.17,-14.23,2.43,16.27,6.30,19.82,21.6,0.23,1.18,0.31,52.01,8.18,0.00,248.62,303.4,0,33.18,134.67,74.44,34.33,6.99,30.8
892,Shannon,11,6,0,20,1,9,0,20,0,5,12,8,0,0,6,52.64,-105.43,11.2,2.65,550,20,17,22,22,41,66,65,52,41,23,17,22,408,81,59,85,183,-19.1,-15.5,-8.9,2.3,10.4,15.1,17.6,16.2,10.4,4,-7.2,-14.6,0.9,2.40,-16.40,1.27,16.30,6.21,15.65,20.48,1.67,3.09,0.29,68.62,9.06,2.08,303.09,346.73,22.75,57.15,1214.27,111.6,227.6,44.35,24.48
